Tue Jan 16 09:07:54 2018    ikfast_profile.out

         1868569599 function calls (1790298646 primitive calls) in 746.066 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
166669/84116    0.180    0.000    0.931    0.000 matrices.py:276(__setitem__)
      127    0.000    0.000    0.904    0.007 euclidtools.py:1773(dmp_primitive)
      376    0.001    0.000    0.896    0.002 complexes.py:39(eval)
     1560    0.004    0.000    0.872    0.001 expr.py:450(count_ops)
10979/278    0.042    0.000    0.860    0.003 simplify.py:1128(powsimp)
       32    0.000    0.000    0.833    0.026 polytools.py:3944(div)
        1    0.645    0.645    0.807    0.807 __init__.py:202(InitializeFromParser)
   100919    0.043    0.000    0.780    0.000 expr.py:70(__neg__)
  7259048    0.754    0.000    0.754    0.000 {method 'items' of 'dict' objects}
  3208334    0.741    0.000    0.745    0.000 {method 'index' of 'list' objects}
     7241    0.043    0.000    0.741    0.000 add.py:517(__neg__)
 7223/138    0.014    0.000    0.726    0.005 ikfast_generator_cpp.py:109(evalNumbers)
      502    0.000    0.000    0.723    0.001 cse_main.py:46(postprocess_for_cse)
      502    0.002    0.000    0.723    0.001 cse_opts.py:62(sub_post)
        1    0.001    0.001    0.699    0.699 ikfast.py:4098(buildRaghavanRothEquations)
      266    0.004    0.000    0.676    0.003 solvers.py:752(solve_linear)
    23587    0.027    0.000    0.666    0.000 matrices.py:372(copyin_list)
   191008    0.065    0.000    0.656    0.000 basic.py:675(iter_basic_args)
  378/377    0.001    0.000    0.656    0.002 complexes.py:111(eval)
   298148    0.263    0.000    0.653    0.000 assumptions.py:315(_learn_new_facts)
      260    0.000    0.000    0.637    0.002 polytools.py:276(args)
  823/235    0.003    0.000    0.626    0.003 add.py:296(_eval_is_positive)
  252/246    0.001    0.000    0.625    0.003 complexes.py:246(eval)
190557/189311    0.285    0.000    0.613    0.000 densearith.py:774(dup_mul)
     1677    0.182    0.000    0.607    0.000 polyutils.py:173(_parallel_dict_from_expr_no_gens)
      155    0.001    0.000    0.580    0.004 ikfast.py:1188(trigsimp_new)
  2775138    0.544    0.000    0.574    0.000 numbers.py:201(as_coeff_mul)
  5722645    0.569    0.000    0.569    0.000 {method 'get' of 'dict' objects}
  350/342    0.009    0.000    0.553    0.002 {__import__}
     5921    0.012    0.000    0.539    0.000 power.py:585(_eval_evalf)
323626/22136    0.050    0.000    0.525    0.000 basic.py:880(<genexpr>)
  2624004    0.427    0.000    0.523    0.000 densebasic.py:131(dup_degree)
       12    0.000    0.000    0.511    0.043 solvers.py:839(solve_linear_system)
      119    0.002    0.000    0.481    0.004 ikfast.py:10987(groupTerms)
        2    0.054    0.027    0.477    0.239 __init__.py:13(<module>)
224035/222730    0.138    0.000    0.477    0.000 numbers.py:1028(__add__)
    10076    0.082    0.000    0.472    0.000 densebasic.py:1275(dmp_multi_deflate)
50782/50730    0.133    0.000    0.472    0.000 numbers.py:523(__new__)
5475/2158    0.017    0.000    0.464    0.000 mul.py:878(_eval_is_positive)
   361315    0.449    0.000    0.453    0.000 numbers.py:36(igcd)
5466/2160    0.014    0.000    0.435    0.000 mul.py:903(_eval_is_negative)
   256965    0.155    0.000    0.428    0.000 matrices.py:227(__getitem__)
38379/38090    0.060    0.000    0.420    0.000 power.py:616(as_numer_denom)
     2071    0.003    0.000    0.419    0.000 polytools.py:1678(LC)
248914/248503    0.199    0.000    0.407    0.000 densearith.py:615(dup_sub)
    23669    0.112    0.000    0.390    0.000 matrices.py:361(copyin_matrix)
        1    0.000    0.000    0.382    0.382 __init__.py:15(loadlatest)
        1    0.000    0.000    0.382    0.382 __init__.py:18(_loadversion)
      165    0.001    0.000    0.382    0.002 ikfast.py:6763(SimplifyTransform)
        1    0.168    0.168    0.382    0.382 __init__.py:22(<module>)
   298321    0.367    0.000    0.377    0.000 facts.py:821(deduce_all_facts)
530439/521768    0.134    0.000    0.368    0.000 densearith.py:571(dmp_add)
5463/4265    0.004    0.000    0.368    0.000 mul.py:943(_eval_is_even)
   389381    0.084    0.000    0.367    0.000 matrices.py:104(<lambda>)
18668/15628    0.014    0.000    0.362    0.000 str.py:471(sstr)
    71094    0.054    0.000    0.356    0.000 numbers.py:1063(__rmul__)
    44130    0.142    0.000    0.353    0.000 mul.py:967(breakup)
    61/30    0.003    0.000    0.337    0.011 factortools.py:855(dmp_zz_wang)
19654/16614    0.009    0.000    0.335    0.000 printer.py:222(doprint)
  2432766    0.335    0.000    0.335    0.000 compatibility.py:116(__init__)
    33158    0.059    0.000    0.335    0.000 matrices.py:171(transpose)
       14    0.000    0.000    0.329    0.023 ikfast.py:9064(<lambda>)
26865/16614    0.039    0.000    0.328    0.000 printer.py:226(_print)
      251    0.001    0.000    0.323    0.001 polytools.py:3332(__sub__)
    14254    0.057    0.000    0.322    0.000 simplify.py:23(fraction)
181205/180766    0.059    0.000    0.321    0.000 mul.py:819(<lambda>)
10319/3229    0.006    0.000    0.314    0.000 {sum}
       39    0.076    0.002    0.313    0.008 __init__.py:1(<module>)
  2330154    0.309    0.000    0.309    0.000 pythonrationaltype.py:177(__nonzero__)
       22    0.000    0.000    0.309    0.014 matrices.py:1830(det)
       22    0.036    0.002    0.309    0.014 matrices.py:1846(det_bareis)
    92910    0.120    0.000    0.307    0.000 numbers.py:396(__eq__)
   118459    0.117    0.000    0.306    0.000 densearith.py:47(dmp_add_term)
        2    0.000    0.000    0.304    0.152 ccompiler.py:875(spawn)
        2    0.000    0.000    0.304    0.152 spawn.py:18(spawn)
        2    0.000    0.000    0.304    0.152 spawn.py:116(_spawn_posix)
190717/188009    0.181    0.000    0.292    0.000 operations.py:252(_eval_template_is_attr)
        2    0.289    0.145    0.289    0.145 {posix.waitpid}
       21    0.001    0.000    0.288    0.014 ikfast.py:11118(IsDeterminantNonZeroByEval)
    39638    0.095    0.000    0.271    0.000 densearith.py:1336(dup_rr_div)
  2123782    0.271    0.000    0.271    0.000 expr.py:963(as_base_exp)
      141    0.000    0.000    0.266    0.002 rationaltools.py:6(together)
 6664/141    0.005    0.000    0.266    0.002 rationaltools.py:57(_together)
     9928    0.020    0.000    0.263    0.000 matrices.py:2616(zeros)
    21432    0.066    0.000    0.257    0.000 matrices.py:929(submatrix)
5101/4083    0.015    0.000    0.252    0.000 {sorted}
      160    0.001    0.000    0.251    0.002 exprtools.py:366(gcd_terms)
     7100    0.006    0.000    0.249    0.000 matrices.py:460(__neg__)
     7127    0.010    0.000    0.248    0.000 matrices.py:386(__rmul__)
   134126    0.029    0.000    0.244    0.000 basic.py:886(<lambda>)
      294    0.001    0.000    0.243    0.001 __init__.py:1267(_log)
   748415    0.235    0.000    0.235    0.000 densebasic.py:677(dmp_zero)
        1    0.000    0.000    0.235    0.235 ccompiler.py:510(compile)
        1    0.000    0.000    0.235    0.235 unixccompiler.py:115(_compile)
      160    0.005    0.000    0.232    0.001 exprtools.py:325(_gcd_terms)
      294    0.000    0.000    0.232    0.001 __init__.py:1288(handle)
      294    0.001    0.000    0.231    0.001 __init__.py:1320(callHandlers)
      579    0.001    0.000    0.230    0.000 __init__.py:746(handle)
   247843    0.102    0.000    0.230    0.000 exprtools.py:13(decompose_power)
      149    0.000    0.000    0.226    0.002 polytools.py:3352(__mul__)
      579    0.001    0.000    0.226    0.000 __init__.py:849(emit)
  574/308    0.003    0.000    0.222    0.001 str.py:43(_print_Add)
      141    0.000    0.000    0.222    0.002 __init__.py:1157(info)
  1696280    0.216    0.000    0.216    0.000 {method 'extend' of 'list' objects}
      579    0.000    0.000    0.216    0.000 __init__.py:723(format)
      579    0.002    0.000    0.215    0.000 __init__.py:452(format)
     1365    0.003    0.000    0.213    0.000 basic.py:471(__repr__)
      579    0.002    0.000    0.213    0.000 __init__.py:312(getMessage)
     3084    0.004    0.000    0.208    0.000 expr.py:84(__sub__)
      149    0.000    0.000    0.206    0.001 polytools.py:1274(mul)
